# ----------------------------------------
# CitationFormatChecker
# Events: Event name-Tab 3
# 20251201-20251228
# ----------------------------------------

,,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals
Event name,Landing page,Session source / medium,Event count,Total users,Event count per active user,Total revenue,Event count,Total users,Event count per active user,Total revenue
scroll_depth,/how-to-cite-facebook-apa,ph.search.yahoo.com / referral,4,1,4,0,4,1,4,0
scroll_depth,/how-to-cite-linkedin-apa,bing / organic,4,2,2,0,4,2,2,0
scroll_depth,/how-to-cite-linkedin-apa,duckduckgo / organic,4,1,4,0,4,1,4,0
session_start,/cite-britannica-apa,chatgpt.com / referral,4,4,1,0,4,4,1,0
session_start,/cite-cdc-apa,bing / organic,4,4,1,0,4,4,1,0
session_start,/cite-circulation-apa,google / organic,4,4,1,0,4,4,1,0
session_start,/cite-harvard-business-review-apa,bing / organic,4,4,1,0,4,4,1,0
session_start,/cite-jstor-apa,chatgpt.com / referral,4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
session_start,/cite-new-york-times-apa,bing / organic,4,4,1,0,4,4,1,0
session_start,/cite-reuters-apa,bing / organic,4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
session_start,/cite-scientific-reports-apa,(direct) / (none),4,4,1,0,4,4,1,0
session_start,/guide/apa-graduate-students,google / organic,4,4,1,0,4,4,1,0
session_start,/guide/apa-reference-list,(direct) / (none),4,4,1,0,4,4,1,0
session_start,/how-to-cite-facebook-apa,bing / organic,4,4,1,0,4,4,1,0
session_start,/how-to-cite-linkedin-apa,bing / organic,4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
session_start,/how-to-cite-newspaper-apa,google / organic,4,4,1,0,4,4,1,0
session_start,/how-to-cite-software-apa,(direct) / (none),4,4,1,0,4,4,1,0
user_engagement,/cite-arxiv-apa,google / organic,4,4,1,0,4,4,1,0
user_engagement,/cite-britannica-apa,(not set),4,2,2,0,4,2,2,0
user_engagement,/cite-britannica-apa,google / organic,4,4,1,0,4,4,1,0
user_engagement,/cite-cdc-apa,bing / organic,4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
user_engagement,/cite-epa-apa,bing / organic,4,2,2,0,4,2,2,0
user_engagement,/cite-jstor-apa,bing / organic,4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
user_engagement,/how-to-cite-facebook-apa,bing / organic,4,2,2,0,4,2,2,0
user_engagement,/how-to-cite-facebook-apa,chatgpt.com / (not set),4,1,4,0,4,1,4,0
user_engagement,/how-to-cite-facebook-apa,ph.search.yahoo.com / referral,4,1,4,0,4,1,4,0
user_engagement,/how-to-cite-instagram-apa,bing / organic,4,2,2,0,4,2,2,0
user_engagement,/how-to-cite-working-paper-apa,bing / organic,4,4,1,0,4,4,1,0
validation_attempted,/cite-harvard-business-review-apa,google / organic,4,1,4,0,4,1,4,0
citation_validated,/how-to-cite-blog-apa,bing / organic,3,1,3,0,3,1,3,0
citation_validated,/how-to-cite-tv-episode-apa,bing / organic,3,2,1.5,0,3,2,1.5,0
click,/how-to-cite-book-apa,chatgpt.com / referral,3,1,3,0,3,1,3,0
editor_cleared,/how-to-cite-facebook-apa,ph.search.yahoo.com / referral,3,1,3,0,3,1,3,0
editor_cleared,/how-to-cite-tv-episode-apa,bing / organic,3,2,1.5,0,3,2,1.5,0
